"Episode","Total Reward"
0,0.9721699344296894
1,0.8818701103762313
2,0.7988443145862008
3,0.7246909251365652
4,0.6533216193597317
5,0.595824056290765
6,0.5417120595923365
7,0.48910422360552347
8,0.4487125111020997
9,0.4120702765545074
10,0.3783559955624218
11,0.35682384445611093
12,0.3175764327020451
13,0.28738285307062245
14,0.26417677374495013
15,0.24924800137559905
16,0.23669300175581248
17,0.22568161587940183
18,0.20644404001817926
19,0.19572842883945094
20,0.18584894047587674
21,0.17267262728028748
22,0.17001743068092834
23,0.15787180651436714
24,0.15499507141304994
25,0.15417032409483206
26,0.126653809538769
27,0.12530163916757914
28,0.12345133452717005
29,0.11924017876616884
30,0.12735042750207687
31,0.13730623444328244
32,0.11827336415406349
33,0.11887240155261315
34,0.12243734197551674
35,0.11701515033846206
36,0.10144157860690614
37,0.10446074462681602
38,0.09758999418401983
39,0.10539226121207836
40,0.0896718900095421
41,0.09305980604188586
42,0.10944399878767867
43,0.09613465799154375
44,0.11569110164437739
45,0.15554735333426484
46,0.12734128961567256
47,0.10632687515797026
48,0.09827255689967204
49,0.09983100947307252
50,0.10800827321790461
51,0.12089613025802934
52,0.10470568382134748
53,0.0942316385871655
54,0.08999137048647181
55,0.09916729626743212
56,0.1254290521841719
57,0.10369992776224965
58,0.08214229688284215
59,0.11029113488434614
