"Iteration","Epoch","Cumulated_Reward","Entropy","Critic Loss","Discounted Reward"
1,0,282.0,1.9195209,0,20.187804033832517
2,0,130.0,1.783393,0,19.635472500110694
3,0,329.0,1.8341647,0,19.758112801597772
4,0,293.0,1.9340721,0,20.332823011677416
5,0,213.0,1.9211882,0,20.267119251826834
6,0,202.0,1.9454759,0,20.21230341127169
7,0,167.0,1.9251087,0,19.78072470238802
8,0,178.0,1.9226431,0,19.74306783765305
9,0,175.0,1.9265637,0,19.746990927138434
10,0,203.0,1.8766094,0,19.758376515141936
11,0,194.0,1.9430141,0,19.73553793171249
12,0,251.0,1.917677,0,20.279378184138036
13,0,163.0,1.9103652,0,19.653921384571227
14,0,226.0,1.8986241,0,19.771973041733684
15,0,131.0,1.9209862,0,19.674774041910336
16,0,122.0,1.8038468,0,19.73974980166652
17,0,161.0,1.9294538,0,19.843924679567717
18,0,123.0,1.9160557,0,19.705435527135695
19,0,173.0,1.8124477,0,19.81087352656787
20,0,254.0,1.9244002,0,20.157133621853703
21,1,118.0,1.8839183,152.40675,19.747290926329736
22,1,130.0,1.8458457,152.40675,19.804240959917813
23,1,172.0,1.8744423,152.40675,19.848345844562797
24,1,175.0,1.9163966,152.40675,19.855509494215454
25,1,272.0,1.9205174,152.40675,19.833023199951636
26,1,168.0,1.9345465,152.40675,19.670790636367816
27,1,166.0,1.9124739,152.40675,19.704683031063542
28,1,111.0,1.8819052,152.40675,19.649728808427533
29,1,247.0,1.922227,152.40675,19.70791458904517
30,1,224.0,1.9159033,152.40675,19.879993767916353
31,1,251.0,1.8829037,152.40675,19.808192295578287
32,1,218.0,1.9180237,152.40675,19.813159057138527
33,1,261.0,1.895004,152.40675,20.22841400818732
34,1,242.0,1.9356629,152.40675,20.193260292888933
35,1,228.0,1.9173752,152.40675,19.849041554093475
36,1,177.0,1.9266232,152.40675,19.75491121830945
37,1,292.0,1.9287474,152.40675,19.730388698557523
38,1,314.0,1.8851624,152.40675,20.40843077073764
39,1,136.0,1.9262551,152.40675,19.79551776981967
40,1,184.0,1.9084,152.40675,19.848848853026475
41,2,181.0,1.8901441,26.374847,20.22615432612582
42,2,331.0,1.8920515,26.374847,20.37372056921833
43,2,321.0,1.9270397,26.374847,20.348222931316172
44,2,158.0,1.9208845,26.374847,19.710581937765912
45,2,130.0,1.9212158,26.374847,19.758556880344855
46,2,166.0,1.9405074,26.374847,20.18624027438685
47,2,217.0,1.8723767,26.374847,19.838223671988644
