"Iteration","Epoch","Cumulated_Reward","Entropy","Critic Loss","Discounted Reward"
1,0,220.0,1.9248086,0,20.228982936238967
2,0,209.0,1.9173819,0,20.199520846243363
3,0,120.0,1.9319068,0,19.74581372157596
4,0,216.0,1.8886477,0,19.815312386680688
5,0,124.0,1.8817244,0,19.78685315716125
6,0,303.0,1.8650911,0,20.367401173959372
7,0,160.0,1.8802804,0,19.74333713203501
8,0,216.0,1.9176106,0,19.82291240863274
9,0,126.0,1.9177963,0,19.774340763502074
10,0,123.0,1.9139102,0,19.64083995964315
11,0,253.0,1.9171143,0,20.21087272172111
12,0,169.0,1.8815286,0,19.748798865198978
13,0,166.0,1.8434417,0,19.71986257614519
14,0,216.0,1.9119608,0,20.22489553009594
15,0,218.0,1.8683527,0,20.216845497371587
16,0,120.0,1.8857691,0,19.715335374230254
17,0,252.0,1.9169205,0,20.35985959052774
18,0,136.0,1.893542,0,19.825505104050034
19,0,120.0,1.9207184,0,19.652400624545766
20,0,269.0,1.910003,0,19.836635322949846
21,0,178.0,1.9092538,0,20.16879025832968
22,0,222.0,1.9034443,0,20.18809485835023
23,1,224.0,1.889568,134.63908,19.768437538132872
24,1,205.0,1.888287,134.63908,20.262343227983312
25,1,209.0,1.903201,134.63908,19.869874819323982
26,1,380.0,1.8606131,134.63908,20.279378308728806
27,1,176.0,1.9117687,134.63908,19.79270446660444
28,1,183.0,1.9005202,134.63908,19.78893850082955
29,1,215.0,1.8962209,134.63908,19.832970783771817
30,1,206.0,1.8724079,134.63908,19.74060704341873
31,1,140.0,1.8871005,134.63908,19.81380600203356
32,1,322.0,1.8588722,134.63908,19.80606891066257
33,1,209.0,1.8507975,134.63908,20.34478310171478
34,1,343.0,1.812076,134.63908,20.185613005992202
35,1,226.0,1.8375845,134.63908,20.315099934417013
36,1,156.0,1.9099123,134.63908,19.728069940061147
37,1,166.0,1.826327,134.63908,19.653920613626145
38,1,245.0,1.8983494,134.63908,19.87760764915436
39,1,326.0,1.9125109,134.63908,20.431070906986598
40,1,125.0,1.9025328,134.63908,19.664241605196548
41,2,372.0,1.7722178,19.133904,20.196500400706107
42,2,128.0,1.8751601,19.133904,19.745858670602836
43,2,256.0,1.8898424,19.133904,19.72075106821298
44,2,136.0,1.8593752,19.133904,19.821669317025002
45,2,163.0,1.8885822,19.133904,19.737168797679846
46,2,338.0,1.9064213,19.133904,20.279818257126372
47,2,258.0,1.8903952,19.133904,19.875554359048255
48,2,141.0,1.8979058,19.133904,19.785507341980196
49,2,248.0,1.8865783,19.133904,19.731229176956198
50,2,168.0,1.8552213,19.133904,19.78906465010469
51,2,225.0,1.832103,19.133904,20.43886270877268
52,2,209.0,1.8935798,19.133904,20.432730361887725
53,2,241.0,1.892559,19.133904,19.782039660193707
54,2,162.0,1.9047744,19.133904,20.251830927678306
55,2,127.0,1.8877921,19.133904,19.792012940184904
56,2,422.0,1.9051019,19.133904,19.79752192559955
57,2,114.0,1.9021503,19.133904,19.670384669300088
58,2,128.0,1.8910224,19.133904,19.76627009177387
59,2,179.0,1.8581195,19.133904,19.829735394523478
60,3,178.0,1.8947291,15.1374855,20.268511577997337
61,3,132.0,1.918107,15.1374855,19.777593678368422
62,3,118.0,1.9107592,15.1374855,19.71160950711985
63,3,326.0,1.8945572,15.1374855,20.2352477275912
64,3,298.0,1.8951347,15.1374855,19.87236163907841
65,3,279.0,1.920758,15.1374855,20.17776884802289
66,3,119.0,1.8964887,15.1374855,19.70482848552169
67,3,210.0,1.8565713,15.1374855,20.305294891248323
68,3,249.0,1.9098896,15.1374855,19.80481208539515
69,3,262.0,1.842467,15.1374855,19.8427428702246
70,3,173.0,1.9013076,15.1374855,20.260718888327403
71,3,423.0,1.8756505,15.1374855,20.209217419166595
72,3,197.0,1.899594,15.1374855,19.783284500751858
73,3,173.0,1.8543564,15.1374855,19.754518549089155
74,3,282.0,1.8391957,15.1374855,20.27427676716569
75,3,233.0,1.838887,15.1374855,20.318006467198646
76,3,200.0,1.9207458,15.1374855,20.31967152100823
77,3,169.0,1.796394,15.1374855,20.247032551582702
78,4,284.0,1.9272512,14.289562,19.74110015933107
79,4,216.0,1.9360974,14.289562,20.17224897648343
80,4,161.0,1.9061393,14.289562,19.7202232548922
81,4,305.0,1.7319547,14.289562,19.858941083399124
82,4,189.0,1.8932707,14.289562,20.1562598757453
83,4,129.0,1.9013886,14.289562,19.799318365940877
84,4,239.0,1.9206538,14.289562,20.273881785001365
85,4,176.0,1.7990873,14.289562,19.816664659713446
86,4,118.0,1.8068238,14.289562,19.745945738763968
87,4,167.0,1.6301851,14.289562,19.825321164283096
88,4,246.0,1.9349871,14.289562,19.812018100230347
89,4,133.0,1.8833452,14.289562,19.74662670220186
