"Iteration","Epoch","Cumulated_Reward","Entropy","Critic Loss","Discounted Reward"
1,0,201.0,1.875235,0,19.73043089656066
2,0,128.0,1.8717113,0,19.812136507670047
3,0,260.0,1.8789203,0,20.213022958151914
4,0,247.0,1.830287,0,20.30483323788143
5,0,206.0,1.8725709,0,19.798095884697645
6,0,125.0,1.9010243,0,19.690730846571608
7,0,174.0,1.7024138,0,19.871252756685504
8,0,168.0,1.8929114,0,19.728206665955938
9,0,231.0,1.8947753,0,20.324674501607195
10,0,155.0,1.8241038,0,19.806032960658904
11,0,215.0,1.721724,0,20.309121701298277
12,0,121.0,1.8691736,0,19.754019129354354
13,0,350.0,1.7866473,0,20.195249097919525
14,0,178.0,1.8240056,0,19.799187906546145
15,0,237.0,1.8506846,0,19.82142446760858
16,0,165.0,1.89449,0,19.72181341795764
17,0,215.0,1.8746363,0,20.249059857597736
18,0,179.0,1.8741455,0,20.170475776559673
19,0,319.0,1.8521476,0,19.75659323396906
20,0,154.0,1.8539286,0,20.29949205092003
21,1,410.0,1.7152591,159.86432,20.299583550780532
22,1,186.0,1.8547206,159.86432,19.83354960828509
23,1,125.0,1.8546685,159.86432,19.811010000709064
24,1,121.0,1.9011422,159.86432,19.75139601360111
25,1,185.0,1.7531185,159.86432,19.851517146811663
26,1,165.0,1.8387562,159.86432,20.278964313264225
27,1,255.0,1.7136028,159.86432,19.785636207543035
28,1,175.0,1.9102745,159.86432,19.790697690966635
29,1,261.0,1.7708026,159.86432,20.348869342726367
30,1,164.0,1.8808595,159.86432,19.831552777628275
31,1,173.0,1.8821648,159.86432,19.758880172938277
32,1,174.0,1.856602,159.86432,20.13659779475868
33,1,193.0,1.8839674,159.86432,20.425047630618064
34,1,126.0,1.7154938,159.86432,19.792881886224343
35,1,199.0,1.6618253,159.86432,19.82248102710387
36,1,211.0,1.8842473,159.86432,20.312420191147535
37,1,165.0,1.894688,159.86432,19.746354881791767
38,1,113.0,1.8867066,159.86432,19.69886846963593
39,1,216.0,1.8851168,159.86432,20.273569820445545
40,1,269.0,1.7415253,159.86432,20.237646856635163
41,1,169.0,1.88271,159.86432,20.175518044885234
42,2,179.0,1.8915514,21.687431,19.840644051854735
43,2,220.0,1.8448205,21.687431,19.875053357066182
44,2,227.0,1.8562462,21.687431,19.849963264875615
45,2,129.0,1.8480952,21.687431,19.77402451645571
46,2,168.0,1.8507178,21.687431,19.813746846814738
47,2,202.0,1.7992742,21.687431,20.19689888632192
48,2,161.0,1.8849919,21.687431,19.72723417691281
49,2,506.0,1.864475,21.687431,20.212723200197505
50,2,312.0,1.8379173,21.687431,20.209321498827794
51,2,122.0,1.8670132,21.687431,19.675255928190225
52,2,174.0,1.884218,21.687431,20.156517424717514
53,2,125.0,1.8603595,21.687431,19.751366605693224
54,2,171.0,1.8250189,21.687431,19.801222834094837
55,2,130.0,1.856693,21.687431,19.79353263101447
56,2,366.0,1.8981762,21.687431,20.368172821566095
57,2,136.0,1.8139322,21.687431,19.747498549580744
58,2,171.0,1.8505675,21.687431,20.21852489031226
59,2,123.0,1.8200482,21.687431,19.79347416416829
60,2,129.0,1.8064206,21.687431,19.709810127926126
61,2,188.0,1.8660839,21.687431,19.71092393183425
62,2,213.0,1.8765894,21.687431,19.835941830991917
63,3,307.0,1.8535246,16.72306,20.287423395572727
64,3,188.0,1.8411311,16.72306,19.641103606116605
65,3,302.0,1.8198895,16.72306,20.28649040535979
66,3,173.0,1.826446,16.72306,19.750071176863234
67,3,179.0,1.8125114,16.72306,19.83509204332252
68,3,260.0,1.838536,16.72306,19.85404388162967
69,3,115.0,1.8317322,16.72306,19.700293616345693
70,3,154.0,1.8815219,16.72306,19.76808763500866
71,3,273.0,1.8202709,16.72306,20.393495296701765
72,3,252.0,1.8819462,16.72306,19.807755313907855
73,3,368.0,1.8747535,16.72306,20.216828254549817
74,3,202.0,1.8605583,16.72306,20.290733688032734
75,3,158.0,1.7992624,16.72306,20.2827147006248
76,3,187.0,1.8820987,16.72306,19.839342086806166
77,3,291.0,1.8601856,16.72306,20.272835154409336
78,3,126.0,1.8671641,16.72306,19.755901298238427
79,3,219.0,1.8831478,16.72306,19.790453540040364
80,3,104.0,1.867918,16.72306,19.57456074775205
81,3,125.0,1.8507397,16.72306,19.69933037521277
82,4,871.0,1.7077752,14.405609,20.360940345244593
83,4,267.0,1.7040154,14.405609,20.37708814052725
84,4,169.0,1.8650998,14.405609,20.214929055376185
85,4,150.0,1.6397876,14.405609,19.77475666569163
86,4,238.0,1.8240404,14.405609,20.297934669175522
87,4,208.0,1.7209121,14.405609,20.18994804683744
88,4,326.0,1.8167843,14.405609,19.82275005131512
89,4,205.0,1.9040682,14.405609,19.878174309291648
90,4,325.0,1.8481855,14.405609,19.823655646097503
91,4,245.0,1.7647724,14.405609,19.758359901315135
92,4,215.0,1.8493255,14.405609,19.796597728941105
93,4,163.0,1.83637,14.405609,19.75916140334991
94,4,123.0,1.8319496,14.405609,19.63059165336715
95,4,184.0,1.8520085,14.405609,19.776455288124094
96,4,175.0,1.8735943,14.405609,19.80519817281247
97,4,166.0,1.6265504,14.405609,19.74719036660186
98,5,201.0,1.7957542,12.916518,20.168964016033943
99,5,220.0,1.6561775,12.916518,20.32092123536609
100,5,315.0,1.4825009,12.916518,20.341038323739788
101,5,122.0,1.84199,12.916518,19.786067408982092
