"Iteration","Epoch","Cumulated_Reward","Entropy","Critic Loss","Discounted Reward"
1,0,269.0,1.3791057,0,20.381826817481056
2,0,212.0,1.2130255,0,20.339882091063604
3,0,191.0,1.3527853,0,20.43165791791959
4,0,175.0,1.252174,0,19.724634178194904
5,0,215.0,1.1076876,0,20.26284431748461
6,0,132.0,1.3312366,0,19.813663199490552
7,0,339.0,1.2431225,0,20.252329391466926
8,0,226.0,1.2640901,0,20.361643194123033
9,0,116.0,1.363832,0,19.749848191656543
10,0,163.0,1.2339989,0,20.30192125638403
11,0,185.0,1.2066717,0,20.39682308071942
12,0,185.0,1.107158,0,20.21138034118393
13,0,175.0,1.1686754,0,20.3380389875303
14,0,175.0,1.1451734,0,20.19540513001835
15,0,215.0,1.1291232,0,20.259127511021134
16,0,193.0,1.3066897,0,20.270657413247577
17,0,199.0,1.1850297,0,19.826830362265266
18,0,122.0,1.1371253,0,19.640774194208014
19,0,136.0,1.220221,0,19.789222909858342
20,0,138.0,1.1722838,0,19.781256053209496
21,0,172.0,1.13976,0,19.712917658824235
22,0,188.0,1.307496,0,19.86538474109635
23,1,184.0,1.2513026,123.32147,20.22014668003269
24,1,297.0,1.2910874,123.32147,20.195092748286704
25,1,216.0,1.0829568,123.32147,19.873096580528564
26,1,209.0,1.547945,123.32147,20.22198096320636
27,1,123.0,1.1181636,123.32147,19.66482162589791
28,1,176.0,1.2582988,123.32147,20.23108091696634
29,1,207.0,1.5325823,123.32147,20.19905624513415
30,1,238.0,1.4389344,123.32147,20.26303975919404
31,1,204.0,1.1107143,123.32147,20.34675784042682
32,1,132.0,1.4313955,123.32147,19.788935523528817
33,1,162.0,1.6016216,123.32147,20.212495975799413
34,1,162.0,1.2131152,123.32147,20.212871969458796
35,1,222.0,1.324998,123.32147,20.164160765282524
36,1,119.0,1.2884336,123.32147,19.64200289774462
37,1,162.0,1.4132322,123.32147,20.29211055677105
38,1,154.0,1.0864968,123.32147,20.19642491218987
39,1,160.0,1.333831,123.32147,20.19008452144129
40,1,163.0,1.308035,123.32147,20.324827218722668
41,1,219.0,1.3528863,123.32147,20.24902782054895
42,1,248.0,1.1536454,123.32147,20.256483376418007
43,1,160.0,1.5473628,123.32147,20.320767098598495
44,1,204.0,1.3255463,123.32147,20.396297774566072
45,2,253.0,1.5423009,27.18394,20.396968233481594
