"Iteration","Epoch","Cumulated_Reward","Entropy","Critic Loss","Discounted Reward"
1,0,176.0,1.1835567,0,19.77945923781924
2,0,244.0,1.31403,0,19.822459524372338
3,0,214.0,1.0983907,0,20.345818465151236
4,0,181.0,1.0428319,0,20.16712175428552
5,0,227.0,1.2360888,0,19.877407223410483
6,0,115.0,1.1780771,0,19.7067430873506
7,0,160.0,1.2777774,0,19.688569966838525
8,0,165.0,1.1723003,0,20.176102595850722
9,0,178.0,1.1054747,0,19.67100008514008
10,0,199.0,1.2747946,0,19.801470921434543
11,0,259.0,1.1077157,0,19.85700668000712
12,0,241.0,1.2761579,0,20.1949559945179
13,0,130.0,1.1313367,0,19.791802682529067
14,0,309.0,1.1729813,0,19.72745234735643
15,0,122.0,1.0530102,0,19.621936799624365
16,0,134.0,1.1392566,0,19.64570928678623
17,0,190.0,1.1336234,0,19.758238518406607
18,0,123.0,1.2711821,0,19.62184154015925
19,0,198.0,1.276973,0,19.791363783334617
20,0,122.0,1.2504996,0,19.657179206524233
21,0,241.0,1.1581582,0,19.820010315674207
22,0,215.0,1.2367187,0,19.87461445067909
23,1,158.0,1.163729,151.0705,20.315009721123104
24,1,330.0,1.3097763,151.0705,20.317429455468528
25,1,121.0,1.2357031,151.0705,19.780966195994644
26,1,236.0,1.3811051,151.0705,20.275078786647594
27,1,204.0,1.1875451,151.0705,19.716989819923977
28,1,239.0,1.3779279,151.0705,19.823396896897208
29,1,170.0,1.0657201,151.0705,19.747667993214407
30,1,244.0,1.0104218,151.0705,20.323488874217386
31,1,134.0,1.1464949,151.0705,19.781778052500982
32,1,170.0,1.2748507,151.0705,20.19535110530964
33,1,290.0,1.2773815,151.0705,20.28249457754829
34,1,114.0,1.2224536,151.0705,19.621923486936435
35,1,280.0,1.2341413,151.0705,20.417322961710656
36,1,303.0,1.1190078,151.0705,19.803970528246975
37,1,225.0,1.1390786,151.0705,20.262793778419677
38,1,152.0,1.1995775,151.0705,19.776793811578038
39,1,274.0,1.162142,151.0705,19.885495490804182
40,1,173.0,1.2888898,151.0705,19.788292024299437
41,1,175.0,1.4296592,151.0705,19.76329499850337
42,2,215.0,1.2917926,16.185003,19.791575821683946
43,2,172.0,1.3088807,16.185003,20.21909998688034
44,2,163.0,1.3796972,16.185003,19.747168645060047
45,2,165.0,1.4620657,16.185003,19.79635882103358
46,2,352.0,1.4305271,16.185003,20.323798828666625
47,2,237.0,1.3678777,16.185003,19.708353996938282
48,2,214.0,1.2289548,16.185003,19.835451854729374
49,2,169.0,1.3173501,16.185003,20.15220012426462
50,2,120.0,1.3718054,16.185003,19.65091011200752
