"Iteration","Epoch","Cumulated_Reward","Entropy","Critic Loss","Discounted Reward"
1,0,159.0,1.9395788,0,19.651013277685955
2,0,169.0,1.9338412,0,19.653798205073212
3,0,125.0,1.867526,0,19.756057496949243
4,0,157.0,1.9252638,0,19.76603367346977
5,0,330.0,1.9320059,0,20.320301652969068
6,0,161.0,1.9242499,0,19.832568913840557
7,0,127.0,1.9073882,0,19.6305469550735
8,0,277.0,1.8007408,0,20.438101892732316
9,0,111.0,1.9268229,0,19.587032663881338
10,0,126.0,1.9022677,0,19.6615368163594
11,0,164.0,1.9252821,0,19.802254746259816
12,0,129.0,1.9300674,0,19.81894812157534
13,0,123.0,1.9217813,0,19.71529528880411
14,0,144.0,1.8753753,0,19.66921857481686
15,0,300.0,1.9175346,0,20.316330980625946
16,0,120.0,1.917294,0,19.691528497226567
17,0,290.0,1.9235605,0,20.24785820473468
18,0,216.0,1.8684844,0,19.78912847774017
19,0,172.0,1.9092659,0,20.244404244266182
20,0,130.0,1.918829,0,19.82167709459103
21,0,251.0,1.9287019,0,20.318006937597534
22,0,236.0,1.9237828,0,19.876574904442858
23,1,214.0,1.8795658,142.88338,20.388910433593153
24,1,126.0,1.8637348,142.88338,19.6615368163594
25,1,264.0,1.930429,142.88338,20.162153765303323
26,1,123.0,1.9399011,142.88338,19.6936296759562
27,1,166.0,1.942104,142.88338,19.786497477834423
28,1,174.0,1.9078043,142.88338,20.215722647249954
29,1,182.0,1.8721392,142.88338,20.25816941350605
30,1,222.0,1.8796643,142.88338,20.42342756389187
31,1,129.0,1.893319,142.88338,19.699326274236924
32,1,134.0,1.9286447,142.88338,19.732428654409134
33,1,272.0,1.9202548,142.88338,19.763404475662362
34,1,124.0,1.926731,142.88338,19.67944400042752
35,1,171.0,1.9268637,142.88338,19.8160954620884
36,1,171.0,1.8237767,142.88338,20.143940276067564
37,1,241.0,1.9372623,142.88338,20.262185999236635
38,1,198.0,1.9327403,142.88338,20.244414298094025
39,1,195.0,1.9291985,142.88338,19.84156611532204
40,1,346.0,1.9300396,142.88338,19.71657642106462
41,1,153.0,1.9289606,142.88338,19.73387644554556
42,1,122.0,1.888689,142.88338,19.643529863532436
43,1,294.0,1.9206575,142.88338,20.35877977205546
44,2,174.0,1.8998097,19.221813,20.17013481452851
45,2,286.0,1.9252836,19.221813,20.239569671647093
46,2,165.0,1.77242,19.221813,19.716202658885496
47,2,124.0,1.8670832,19.221813,19.665204426292885
48,2,170.0,1.8925698,19.221813,20.179981318342946
49,2,228.0,1.9298551,19.221813,20.163809955966986
50,2,188.0,1.9234987,19.221813,19.841735968924475
51,2,112.0,1.908112,19.221813,19.672462324286847
52,2,119.0,1.9127494,19.221813,19.66624101956359
53,2,158.0,1.9143684,19.221813,20.23779981381395
54,2,163.0,1.9191579,19.221813,19.833481430211126
55,2,158.0,1.9006494,19.221813,19.73725205875344
56,2,308.0,1.8674848,19.221813,20.188741900926846
57,2,156.0,1.8978834,19.221813,20.310689830247394
58,2,172.0,1.8712722,19.221813,19.75834154097457
59,2,141.0,1.9124546,19.221813,19.78478045630924
60,2,134.0,1.9084545,19.221813,19.732428654409134
61,2,229.0,1.9337379,19.221813,20.29517177549174
62,2,133.0,1.9121372,19.221813,19.789867324639204
63,2,218.0,1.9355114,19.221813,20.274773711282144
64,2,166.0,1.8975912,19.221813,19.791700943224168
65,2,133.0,1.9363204,19.221813,19.69092626042945
66,2,132.0,1.9060909,19.221813,19.753228175397386
67,3,222.0,1.710763,16.52298,20.169662618538126
68,3,119.0,1.929414,16.52298,19.671231497284143
69,3,191.0,1.9195948,16.52298,20.42722015477005
70,3,119.0,1.9037156,16.52298,19.75730326426
71,3,143.0,1.917941,16.52298,19.823668819854458
72,3,128.0,1.7884808,16.52298,19.651780781796923
73,3,319.0,1.8570446,16.52298,20.185679345777615
74,3,186.0,1.7645845,16.52298,19.661712396450227
75,3,122.0,1.6839186,16.52298,19.779571366915377
76,3,134.0,1.9233873,16.52298,19.763482866068244
77,3,173.0,1.9219513,16.52298,19.84575673039919
78,3,176.0,1.9043365,16.52298,20.321338873730568
79,3,135.0,1.5828912,16.52298,19.817011703545344
80,3,206.0,1.8760254,16.52298,19.83459434894554
81,3,286.0,1.9222823,16.52298,20.270559392512958
82,3,194.0,1.9154972,16.52298,19.65534062589067
83,3,219.0,1.9306382,16.52298,19.87173682994443
84,3,135.0,1.913456,16.52298,19.805924249107843
85,3,209.0,1.8823739,16.52298,20.166140086580775
86,3,164.0,1.9253173,16.52298,19.822254184764585
87,3,178.0,1.8919483,16.52298,19.86773573607454
88,3,161.0,1.9174147,16.52298,19.745232329374407
89,3,165.0,1.6178747,16.52298,19.75988801759128
90,4,119.0,1.9004271,16.889229,19.619818511633913
91,4,109.0,1.8444582,16.889229,19.592287185484413
92,4,121.0,1.852907,16.889229,19.678832728730214
93,4,256.0,1.7322705,16.889229,20.22215726832313
94,4,142.0,1.6582546,16.889229,19.828108758658757
95,4,166.0,1.8664458,16.889229,19.694189227522852
96,4,208.0,1.8618854,16.889229,20.324042196548092
97,4,161.0,1.8975973,16.889229,19.67311858863137
98,4,256.0,1.9005685,16.889229,20.423034948417754
99,4,179.0,1.8909106,16.889229,19.81486879433246
100,4,124.0,1.8555417,16.889229,19.80489611963962
101,4,198.0,1.8889308,16.889229,20.323935423471085
102,4,320.0,1.8999726,16.889229,19.85619211024699
103,4,125.0,1.9059224,16.889229,19.785842469396915
104,4,131.0,1.914072,16.889229,19.6392661411921
105,4,159.0,1.8125534,16.889229,20.331123417882065
106,4,118.0,1.8399388,16.889229,19.636441401354897
107,4,314.0,1.7685504,16.889229,19.872560651890822
108,4,129.0,1.8593866,16.889229,19.805586017460165
109,4,144.0,1.9032584,16.889229,19.814820129410084
110,4,159.0,1.6215339,16.889229,19.642176496972688
111,4,247.0,1.9007689,16.889229,20.28995128664085
112,4,112.0,1.8491117,16.889229,19.591903109208452
113,5,269.0,1.7796209,14.76225,19.784307356827327
114,5,223.0,1.8943222,14.76225,19.766869990242327
115,5,125.0,1.926048,14.76225,19.733170773562083
116,5,240.0,1.8116865,14.76225,19.79851350002055
117,5,143.0,1.8276997,14.76225,19.8135995794651
118,5,223.0,1.8703778,14.76225,19.769111871965936
119,5,180.0,1.8714752,14.76225,19.863986589523773
120,5,115.0,1.8343744,14.76225,19.640827312589618
121,5,234.0,1.7207212,14.76225,20.367952355546652
122,5,169.0,1.8482773,14.76225,19.76575583935512
123,5,131.0,1.7183712,14.76225,19.70144554779313
124,5,127.0,1.8760686,14.76225,19.7708674078036
125,5,180.0,1.8823464,14.76225,19.81578149856917
126,5,159.0,1.6696968,14.76225,20.256721503782245
127,5,128.0,1.812413,14.76225,19.81562154438764
128,5,123.0,1.9297259,14.76225,19.708409122731094
129,5,167.0,1.8401703,14.76225,19.785195793863814
130,5,164.0,1.8956709,14.76225,20.151387455028953
131,5,250.0,1.7816733,14.76225,19.695130885907027
132,5,124.0,1.8146684,14.76225,19.755180170305326
133,5,154.0,1.9039403,14.76225,20.247174369646665
134,5,133.0,1.8770592,14.76225,19.69092626042945
135,5,161.0,1.6598332,14.76225,19.794681889514326
136,6,144.0,1.689164,14.809567,19.797975901501612
137,6,162.0,1.8741349,14.809567,19.839333429657316
138,6,116.0,1.7733871,14.809567,19.612288913403543
139,6,169.0,1.8961296,14.809567,20.193778160977867
140,6,340.0,1.7637703,14.809567,20.28667388739647
141,6,167.0,1.9104708,14.809567,19.837934943945747
142,6,158.0,1.6647137,14.809567,20.331005982156267
143,6,155.0,1.9233992,14.809567,20.247296164589354
144,6,210.0,1.8736215,14.809567,19.789144896085666
145,6,126.0,1.8584331,14.809567,19.787100051894065
146,6,217.0,1.8889482,14.809567,20.18837487943702
147,6,265.0,1.8553617,14.809567,19.74723447066118
148,6,259.0,1.9092774,14.809567,20.22356892824395
149,6,128.0,1.8618671,14.809567,19.745858670602836
150,6,179.0,1.6496412,14.809567,19.841757026830233
151,6,123.0,1.7946526,14.809567,19.767874450860017
152,6,167.0,1.8984661,14.809567,19.7448718344129
153,6,164.0,1.8012091,14.809567,19.746934131153875
154,6,117.0,1.8963223,14.809567,19.696431060126155
155,6,115.0,1.7801806,14.809567,19.659879293325293
156,6,116.0,1.8308835,14.809567,19.749848191656543
157,6,216.0,1.907001,14.809567,20.246604556221197
158,6,170.0,1.8871526,14.809567,19.65465528170477
159,7,166.0,1.9003847,14.348924,19.744613176371995
160,7,119.0,1.9134417,14.348924,19.619818511633913
161,7,179.0,1.9314579,14.348924,19.67534930746267
162,7,172.0,1.8521247,14.348924,19.794480613367583
163,7,117.0,1.8972802,14.348924,19.722107066384485
164,7,208.0,1.8674301,14.348924,20.37382749325146
165,7,114.0,1.8732698,14.348924,19.65945972562317
166,7,141.0,1.9247777,14.348924,19.74018194568733
167,7,167.0,1.8979449,14.348924,19.8279046017988
168,7,283.0,1.7704005,14.348924,20.20726325331445
169,7,212.0,1.7411921,14.348924,19.79578849375302
170,7,124.0,1.8018489,14.348924,19.73275102236899
171,7,149.0,1.9155335,14.348924,19.763625131916097
172,7,202.0,1.8379192,14.348924,20.265973703558036
173,7,167.0,1.8544788,14.348924,19.850015093075672
174,7,176.0,1.8633661,14.348924,20.20988438856739
175,7,125.0,1.8634107,14.348924,19.666162647281087
176,7,163.0,1.7991222,14.348924,19.839170937574657
177,7,174.0,1.9062325,14.348924,20.165349698296673
178,7,208.0,1.8801444,14.348924,20.274337107639315
179,7,154.0,1.858873,14.348924,19.8032268701164
180,7,207.0,1.8477134,14.348924,20.21161446018278
181,7,161.0,1.9135005,14.348924,19.74417792790651
182,7,122.0,1.8847661,14.348924,19.659797092382426
183,8,293.0,1.7303503,13.685584,20.270173016319273
184,8,243.0,1.5582006,13.685584,20.216506351766757
185,8,149.0,1.6609225,13.685584,19.635598210681263
186,8,136.0,1.7906653,13.685584,19.805875348415572
187,8,262.0,1.7923069,13.685584,19.879661580882146
188,8,160.0,1.8377274,13.685584,19.806527683431998
189,8,172.0,1.9067191,13.685584,19.763413369762826
190,8,303.0,1.9211583,13.685584,20.19371835025187
191,8,162.0,1.8818123,13.685584,19.798297870263003
192,8,161.0,1.892208,13.685584,20.310875703673844
193,8,115.0,1.7964118,13.685584,19.5971831487791
194,8,160.0,1.8970199,13.685584,19.829657956471106
195,8,258.0,1.7679144,13.685584,19.671574560810587
196,8,170.0,1.9098113,13.685584,19.825289009020544
197,8,123.0,1.7239296,13.685584,19.705435527135695
198,8,130.0,1.8641316,13.685584,19.775580368490026
199,8,119.0,1.9136573,13.685584,19.719049823404934
200,8,127.0,1.7349032,13.685584,19.79781794406312
201,8,128.0,1.8757629,13.685584,19.77288050913792
202,8,198.0,1.785106,13.685584,19.83138804177771
203,8,186.0,1.8389533,13.685584,20.22248925573318
204,8,168.0,1.9040511,13.685584,19.768543048291768
205,8,218.0,1.8350289,13.685584,19.789375566564047
206,9,132.0,1.5003632,14.504846,19.775471416130888
207,9,144.0,1.8867486,14.504846,19.823575614809887
208,9,139.0,1.6831682,14.504846,19.77356754324808
209,9,153.0,1.8921298,14.504846,19.660740195801676
210,9,126.0,1.6898227,14.504846,19.658477343254575
211,9,177.0,1.8936906,14.504846,19.87229397350801
212,9,163.0,1.6145754,14.504846,19.804897365287594
213,9,176.0,1.8888396,14.504846,19.823934440726514
214,9,131.0,1.8752279,14.504846,19.674774041910336
215,9,209.0,1.8941101,14.504846,20.24189365891981
216,9,212.0,1.7584553,14.504846,20.294162757601246
217,9,115.0,1.8988963,14.504846,19.678225199803588
218,9,182.0,1.8895751,14.504846,19.79062364251841
219,9,211.0,1.8467422,14.504846,19.837794341828296
220,9,212.0,1.6035731,14.504846,19.820132905393525
221,9,130.0,1.8257582,14.504846,19.728598332365486
222,9,260.0,1.9080751,14.504846,20.25003979996735
223,9,144.0,1.7759885,14.504846,19.833047829137666
224,9,199.0,1.9023918,14.504846,19.767917476126218
225,9,199.0,1.9078612,14.504846,19.851163310939384
226,9,257.0,1.8925208,14.504846,19.851445318255244
227,9,154.0,1.8296586,14.504846,19.821785335626625
228,9,175.0,1.7601974,14.504846,20.152180539659614
229,10,168.0,1.3679495,14.014404,19.705194006623458
230,10,222.0,1.6090275,14.014404,19.884738358907928
231,10,163.0,1.8601618,14.014404,20.19595125959103
232,10,160.0,1.8693324,14.014404,19.666522629557058
233,10,138.0,1.6494402,14.014404,19.791508291109103
234,10,169.0,1.7844129,14.014404,19.82419517252554
235,10,126.0,1.7796195,14.014404,19.70215520157845
