"Iteration","Epoch","Cumulated_Reward","Entropy","Critic Loss","Discounted Reward"
1,0,120.0,1.9310884,0,19.76174154604139
2,0,107.0,1.8778604,0,19.61957705229142
3,0,196.0,1.7601926,0,20.318055150842316
4,0,228.0,1.928513,0,20.33681884206972
5,0,208.0,1.9238113,0,20.27387153971176
6,0,130.0,1.8340199,0,19.728598332365486
7,0,311.0,1.8112957,0,19.883754101734723
8,0,140.0,1.8919067,0,19.76298571643214
9,0,166.0,1.8058892,0,19.84656308329609
10,0,160.0,1.8272848,0,19.768551098419827
11,0,209.0,1.9185512,0,20.268268022660532
12,0,203.0,1.7783117,0,20.346473642702513
13,0,175.0,1.7066342,0,20.204164341611616
14,0,205.0,1.9119486,0,20.3185092761349
15,0,198.0,1.8850596,0,19.85916795454732
16,0,170.0,1.8857962,0,20.248057421770376
17,0,206.0,1.848112,0,19.753706460562114
18,0,170.0,1.9257586,0,20.149974902340734
19,0,175.0,1.8976657,0,20.20921522572312
20,0,162.0,1.8234363,0,19.83858445179382
21,0,184.0,1.8498286,0,19.832857524144785
22,0,299.0,1.9181395,0,20.266942881873618
23,1,230.0,1.7556988,131.3951,20.254192249339084
24,1,297.0,1.8909562,131.3951,20.296149941847563
25,1,123.0,1.8903533,131.3951,19.68773218144022
26,1,212.0,1.8861669,131.3951,19.799803932704645
27,1,133.0,1.7136116,131.3951,19.718345952009614
28,1,163.0,1.8278205,131.3951,19.83392647110527
29,1,264.0,1.8910779,131.3951,20.22336932470865
30,1,170.0,1.8935546,131.3951,19.85048385469909
31,1,273.0,1.8035603,131.3951,20.27855844728271
32,1,169.0,1.8033814,131.3951,19.73880327760099
33,1,124.0,1.7757659,131.3951,19.75869205874285
34,1,173.0,1.9037558,131.3951,20.23160622118388
35,1,247.0,1.7827121,131.3951,19.853594658316684
36,1,221.0,1.8217661,131.3951,20.159349357351633
37,1,114.0,1.7594061,131.3951,19.722823481059887
38,1,135.0,1.8691841,131.3951,19.778977182467553
39,1,202.0,1.808605,131.3951,20.24282076521155
40,1,190.0,1.7654371,131.3951,19.65778624123314
41,1,162.0,1.7699482,131.3951,19.756911673980532
42,1,120.0,1.7676681,131.3951,19.657653758988456
43,1,210.0,1.8780661,131.3951,20.201478609253428
44,1,118.0,1.7985678,131.3951,19.700011284989852
45,2,247.0,1.8435912,37.016457,19.84589145721821
46,2,119.0,1.8113663,37.016457,19.644135987512716
47,2,138.0,1.687157,37.016457,19.83287741740788
48,2,164.0,1.7485356,37.016457,20.160347885964438
49,2,206.0,1.8582152,37.016457,20.305173214508372
50,2,112.0,1.8940245,37.016457,19.607681030687274
51,2,122.0,1.7818732,37.016457,19.714996724337524
52,2,133.0,1.9159651,37.016457,19.803350283881564
53,2,201.0,1.8471156,37.016457,20.298666531255837
54,2,169.0,1.7477477,37.016457,19.848736783530367
55,2,202.0,1.8823242,37.016457,19.70466270863773
