"Iteration","Epoch","Cumulated_Reward","Entropy","Critic Loss","Discounted Reward"
1,0,258.0,1.9124908,0,19.83518566186921
2,0,115.0,1.8532469,0,19.679876737242086
3,0,150.0,1.9067909,0,19.71994940768252
4,0,233.0,1.8785164,0,20.43154111666976
5,0,188.0,1.829881,0,20.277229280393705
6,0,196.0,1.8379965,0,19.644915857532723
7,0,157.0,1.9136367,0,20.32051317784148
8,0,184.0,1.8976552,0,19.842114276879002
9,0,230.0,1.8868933,0,19.825392949753773
10,0,223.0,1.8614277,0,20.16387345564443
11,0,147.0,1.8474787,0,19.6918474228798
12,0,198.0,1.8497889,0,19.806854261229184
13,0,247.0,1.8454325,0,20.279579720812862
14,0,167.0,1.9134654,0,19.807324844390614
15,0,139.0,1.8446827,0,19.821846814569422
16,0,182.0,1.864643,0,19.817674214582684
17,0,159.0,1.8519394,0,19.783425652280044
18,0,172.0,1.8935499,0,20.175368822347973
19,0,176.0,1.8936822,0,19.845483823706658
20,0,290.0,1.9210445,0,20.354679918860924
21,0,161.0,1.8629912,0,19.822019466017327
22,1,165.0,1.9084975,132.01909,19.721774878999213
23,1,125.0,1.8511145,132.01909,19.630851542559594
24,1,261.0,1.8482933,132.01909,19.792534800943933
25,1,214.0,1.8547686,132.01909,19.848481313169994
26,1,216.0,1.8644449,132.01909,20.16972825684305
27,1,176.0,1.8589888,132.01909,19.762384531795256
28,1,296.0,1.8740964,132.01909,19.798234230387116
29,1,197.0,1.8495829,132.01909,19.7496003569063
30,1,133.0,1.8723137,132.01909,19.784957616739995
31,1,163.0,1.8547183,132.01909,19.80300030196847
32,1,159.0,1.8282969,132.01909,20.324358660310832
33,1,118.0,1.898816,132.01909,19.63062625892565
34,1,242.0,1.8623086,132.01909,19.82970213956811
35,1,156.0,1.906795,132.01909,20.20312507718019
36,1,433.0,1.8506836,132.01909,20.4086355903342
37,1,173.0,1.9014459,132.01909,20.195159331963758
38,1,304.0,1.8953595,132.01909,20.25382296242521
39,1,177.0,1.9164264,132.01909,20.20858162461489
40,1,242.0,1.8593881,132.01909,20.421178998866214
41,1,186.0,1.8783884,132.01909,19.8127563275898
42,2,371.0,1.8989518,27.095911,20.18584247931968
43,2,339.0,1.8737433,27.095911,19.748988185257875
44,2,170.0,1.8497039,27.095911,20.212389570627188
45,2,282.0,1.8929479,27.095911,20.28997567231909
46,2,156.0,1.8842814,27.095911,19.690905296016208
47,2,161.0,1.8464847,27.095911,19.826364459940944
48,2,273.0,1.9008766,27.095911,19.75972710204323
49,2,213.0,1.8233207,27.095911,20.15537450366909
50,2,129.0,1.8949828,27.095911,19.729577902265234
51,2,227.0,1.8116693,27.095911,20.194110386284578
52,2,130.0,1.8139591,27.095911,19.817852358657333
53,2,216.0,1.8608607,27.095911,20.170130586981198
54,2,166.0,1.8675277,27.095911,19.74949810338492
55,2,122.0,1.8631849,27.095911,19.642190181119346
56,2,179.0,1.8859562,27.095911,19.735718722225627
57,2,204.0,1.8901124,27.095911,20.157124781878032
58,2,163.0,1.8369697,27.095911,20.331209858022724
59,2,213.0,1.8912112,27.095911,20.134563052258848
60,2,170.0,1.8983369,27.095911,19.744570126812718
61,2,209.0,1.9062235,27.095911,19.814902282577517
62,3,254.0,1.8527473,17.0855,20.352067027883777
63,3,247.0,1.8760409,17.0855,19.847709582810648
64,3,231.0,1.857502,17.0855,20.157144308307817
65,3,169.0,1.8872159,17.0855,19.68866709146076
66,3,236.0,1.890863,17.0855,20.341654647125814
67,3,171.0,1.9101075,17.0855,19.775731903169927
68,3,181.0,1.8822445,17.0855,19.850224695309553
69,3,168.0,1.9034396,17.0855,19.759891227674235
70,3,183.0,1.8912944,17.0855,19.86285429430617
71,3,248.0,1.8297738,17.0855,20.36711351607664
72,3,165.0,1.826362,17.0855,20.243406139281134
73,3,485.0,1.8559455,17.0855,19.781629158674633
74,3,247.0,1.8773195,17.0855,20.327727058238377
75,3,126.0,1.8500437,17.0855,19.792881886224343
76,3,166.0,1.8812635,17.0855,19.70351601899467
77,3,310.0,1.8688399,17.0855,20.151694114154186
78,3,211.0,1.8831471,17.0855,19.810572516448897
79,3,158.0,1.9022884,17.0855,19.693482221025658
80,3,164.0,1.8901795,17.0855,19.712394644836568
81,4,155.0,1.8321252,15.313096,19.74130872926026
82,4,165.0,1.8165063,15.313096,19.729752912789934
83,4,212.0,1.8800724,15.313096,20.19610690033236
84,4,163.0,1.8538103,15.313096,20.322195484281004
85,4,246.0,1.8475021,15.313096,20.26486457000991
86,4,106.0,1.8477925,15.313096,19.571034553827882
87,4,138.0,1.8744164,15.313096,19.80048277430219
