"Iteration","Epoch","Cumulated_Reward","Entropy","Critic Loss","Discounted Reward"
1,0,120.0,2.8565047,0,19.681583781019636
2,0,308.0,2.7440815,0,20.271945466111188
3,0,253.0,2.7833219,0,19.745058013740284
4,0,209.0,2.8204393,0,20.19310909416451
5,0,126.0,2.7586226,0,19.71712503092924
6,0,123.0,2.8612251,0,19.6632796423354
7,0,224.0,2.8202415,0,20.325706801335198
8,0,128.0,2.699048,0,19.671510761036338
9,0,173.0,2.791233,0,19.753329379365333
10,0,293.0,2.793828,0,20.26448210983928
11,0,125.0,2.7939916,0,19.66973106612328
12,0,122.0,2.8626733,0,19.62903537539377
13,0,171.0,2.6551256,0,20.30052897301976
14,0,154.0,2.8066082,0,19.7684258368104
15,0,182.0,2.8012328,0,19.847111756419345
16,0,171.0,2.8012857,0,20.195377400525174
17,0,268.0,2.7835674,0,19.813828394501286
18,0,133.0,2.8160863,0,19.730554606883302
19,0,128.0,2.815568,0,19.711033482575644
20,0,240.0,2.8517308,0,19.796045202606408
21,0,126.0,2.8734684,0,19.78221958301542
22,0,222.0,2.8680363,0,19.848596285238845
23,1,216.0,3.063016,99.06258,20.23663501033262
24,1,131.0,2.871361,99.06258,19.80864468566379
25,1,125.0,2.789834,99.06258,19.720531670936335
26,1,134.0,3.0256364,99.06258,19.788388469865033
27,1,120.0,3.026448,99.06258,19.61518420665715
28,1,160.0,2.9824,99.06258,19.75262170854894
29,1,131.0,3.074847,99.06258,19.802285443166372
30,1,124.0,3.023312,99.06258,19.75221105869119
31,1,167.0,2.9919953,99.06258,19.790273849960712
32,1,132.0,3.0205808,99.06258,19.76814685395465
33,1,156.0,2.994124,99.06258,20.332632898778893
34,1,166.0,2.7876754,99.06258,19.78047574549268
35,1,262.0,3.0664625,99.06258,20.184069974946155
36,1,219.0,3.048161,99.06258,19.837698318216134
37,1,196.0,2.9348445,99.06258,20.304261227892923
38,1,123.0,3.049347,99.06258,19.689125769813398
39,1,116.0,2.9650874,99.06258,19.648580245595024
40,1,247.0,2.9967184,99.06258,20.278338292112704
41,1,173.0,2.9699106,99.06258,19.72760887814539
42,1,272.0,2.8393636,99.06258,19.802128688727052
43,1,122.0,3.0462532,99.06258,19.68047091607061
44,1,222.0,2.986823,99.06258,20.205363475893805
45,1,203.0,2.7541773,99.06258,20.14959623712641
46,2,115.0,3.0064764,56.27281,19.644324043182035
47,2,109.0,2.9664907,56.27281,19.583255302874885
48,2,120.0,3.1652398,56.27281,19.72635368525376
49,2,261.0,2.992134,56.27281,19.761236549362298
50,2,126.0,3.0255358,56.27281,19.819654087187786
51,2,177.0,2.8644753,56.27281,19.78583336338558
52,2,210.0,2.8372602,56.27281,20.150948112395774
53,2,172.0,2.987604,56.27281,20.15080503088273
54,2,179.0,2.903369,56.27281,19.81232470034035
55,2,192.0,3.1698518,56.27281,20.162937966064383
56,2,572.0,3.0478811,56.27281,19.85146604354681
57,2,135.0,2.5303247,56.27281,19.804184020523504
58,2,197.0,3.0616097,56.27281,19.828882015745382
59,2,117.0,3.0675426,56.27281,19.66366424174998
60,2,163.0,3.0019386,56.27281,19.70224466292267
