"Episode","Total Reward"
0,23807.0
1,30000.0
2,14042.0
3,24048.0
4,21292.0
5,30000.0
6,22596.0
7,30000.0
8,13305.0
9,14292.0
10,15384.0
11,30000.0
12,30000.0
13,6729.0
14,23199.0
15,19966.0
16,27429.0
17,14924.0
18,20848.0
19,17326.0
20,23746.0
21,11008.0
22,30000.0
23,24532.0
24,22414.0
25,11082.0
26,18554.0
27,7762.0
28,19014.0
29,11091.0
30,18241.0
31,14361.0
32,30000.0
33,11036.0
34,17846.0
35,5234.0
36,23119.0
37,18683.0
38,7972.0
39,14830.0
40,30000.0
41,8426.0
42,17432.0
43,30000.0
44,30000.0
45,22940.0
46,29188.0
47,29272.0
48,26035.0
49,22790.0
