"Episode","Total Reward"
0,21763.0
1,20676.0
2,12740.0
3,21879.0
4,30000.0
5,3528.0
6,29431.0
7,23904.0
8,17749.0
9,22778.0
10,21994.0
11,7143.0
12,24933.0
13,17994.0
14,25348.0
15,30000.0
16,13745.0
17,13398.0
18,21064.0
19,30000.0
20,23587.0
21,24354.0
22,3825.0
23,17932.0
24,22070.0
25,22638.0
26,20966.0
27,4782.0
28,13388.0
29,23442.0
30,26050.0
31,30002.0
32,8328.0
33,15223.0
34,13927.0
35,12886.0
36,21864.0
37,30000.0
38,30000.0
39,17291.0
40,20103.0
41,23325.0
42,30000.0
43,30000.0
44,9910.0
45,30000.0
46,13719.0
47,30000.0
48,10781.0
49,30000.0
