"Episode","Total Reward"
0,11683.0
1,3865.0
2,5675.0
3,4741.0
4,8709.0
5,3583.0
6,5066.0
7,5999.0
8,2406.0
9,2844.0
10,8748.0
11,1812.0
12,2649.0
13,1876.0
14,3897.0
15,4151.0
16,5383.0
17,5003.0
18,5993.0
19,1972.0
20,3460.0
21,3437.0
22,2201.0
23,3420.0
24,8772.0
25,3965.0
26,3077.0
27,7024.0
28,3740.0
29,8127.0
30,1684.0
31,1576.0
32,830.0
33,5516.0
34,2292.0
35,2401.0
36,4100.0
37,5721.0
38,3061.0
39,8418.0
40,4697.0
41,2674.0
42,2316.0
43,6763.0
44,3115.0
45,4987.0
46,611.0
47,2994.0
48,7757.0
49,4241.0
