"Episode","Total Reward"
0,955.0
1,2023.0
2,742.0
3,1827.0
4,630.0
5,648.0
6,2326.0
7,1116.0
8,817.0
9,2307.0
10,289.0
11,990.0
12,944.0
13,808.0
14,702.0
15,1468.0
16,1913.0
17,2196.0
18,1289.0
19,733.0
20,1794.0
21,724.0
22,1343.0
23,1685.0
24,924.0
25,1691.0
26,1536.0
27,1609.0
28,893.0
29,826.0
30,1623.0
31,483.0
32,899.0
33,495.0
34,847.0
35,1442.0
36,1729.0
37,3207.0
38,444.0
39,1383.0
40,698.0
41,1118.0
42,2213.0
43,1156.0
44,1170.0
45,1216.0
46,346.0
47,1609.0
48,1178.0
49,1187.0
