"Episode","Total Reward"
0,22764.0
1,11685.0
2,30000.0
3,17639.0
4,7352.0
5,9862.0
6,30000.0
7,16477.0
8,11157.0
9,15092.0
10,8575.0
11,3272.0
12,9063.0
13,26784.0
14,8948.0
15,25878.0
16,16908.0
17,11639.0
18,7227.0
19,5031.0
20,9821.0
21,29963.0
22,5756.0
23,13159.0
24,20980.0
25,20049.0
26,12512.0
27,22579.0
28,8527.0
29,7383.0
30,3036.0
31,11042.0
32,20776.0
33,4603.0
34,24614.0
35,16270.0
36,5104.0
37,9373.0
38,4822.0
39,24598.0
40,4690.0
41,13055.0
42,18441.0
43,7673.0
44,15381.0
45,2708.0
46,12964.0
47,12224.0
48,30000.0
49,24063.0
