"Episode","Total Reward"
0,154.0
1,188.0
2,453.0
3,561.0
4,558.0
5,804.0
6,1031.0
7,233.0
8,809.0
9,271.0
10,256.0
11,1021.0
12,976.0
13,415.0
14,290.0
15,369.0
16,209.0
17,200.0
18,385.0
19,975.0
20,242.0
21,934.0
22,235.0
23,283.0
24,178.0
25,301.0
26,550.0
27,539.0
28,193.0
29,368.0
30,683.0
31,455.0
32,630.0
33,451.0
34,448.0
35,774.0
36,204.0
37,635.0
38,623.0
39,458.0
40,115.0
41,408.0
42,536.0
43,372.0
44,340.0
45,282.0
46,552.0
47,853.0
48,550.0
49,445.0
